# score_time, perf_time
2.183836734693877446e+01,1.338978684807256343e+02
2.184997732426304040e+01,1.339094784580498754e+02
2.186158730158730279e+01,1.339210884353741449e+02
2.187319727891156518e+01,1.339326984126984144e+02
2.188480725623582757e+01,1.339443083900226839e+02
2.189641723356008995e+01,1.339559183673469533e+02
2.190802721088435590e+01,1.339675283446711944e+02
2.191963718820861828e+01,1.339791383219954639e+02
2.193124716553288067e+01,1.339907482993197334e+02
2.194285714285714306e+01,1.340023582766440029e+02
2.195446712018140545e+01,1.340139682539682440e+02
2.196607709750566784e+01,1.340255782312925135e+02
2.197768707482993378e+01,1.340371882086167830e+02
2.198929705215419617e+01,1.340487981859410525e+02
2.200090702947845855e+01,1.340604081632653219e+02
2.201251700680272094e+01,1.340720181405895630e+02
2.202412698412698333e+01,1.340836281179138325e+02
2.203573696145124927e+01,1.340952380952381020e+02
2.204734693877551166e+01,1.341068480725623715e+02
2.205895691609977405e+01,1.341184580498866126e+02
2.207056689342403644e+01,1.341300680272108821e+02
2.208217687074829882e+01,1.341416780045351516e+02
2.209378684807256121e+01,1.341532879818594211e+02
2.210539682539682715e+01,1.341648979591836621e+02
2.211700680272108954e+01,1.341765079365079316e+02
2.212861678004535193e+01,1.341881179138322011e+02
2.214022675736961432e+01,1.341997278911564706e+02
2.215183673469387671e+01,1.342113378684807401e+02
2.216344671201814265e+01,1.342229478458049812e+02
2.217505668934240504e+01,1.342345578231292507e+02
2.218666666666666742e+01,1.342461678004535202e+02
2.219827664399092981e+01,1.342577777777777897e+02
2.220988662131519220e+01,1.342693877551020307e+02
2.222149659863945459e+01,1.342809977324263002e+02
2.223310657596372053e+01,1.342926077097505697e+02
2.224471655328798292e+01,1.343042176870748392e+02
2.225632653061224531e+01,1.343158276643991087e+02
2.226793650793650770e+01,1.343274376417233498e+02
2.227954648526077008e+01,1.343390476190476193e+02
2.229115646258503602e+01,1.343506575963718888e+02
2.230276643990929841e+01,1.343622675736961583e+02
2.231437641723356080e+01,1.343738775510203993e+02
2.232598639455782319e+01,1.343854875283446688e+02
2.233759637188208558e+01,1.343970975056689383e+02
2.234920634920634797e+01,1.344087074829932078e+02
2.236081632653061391e+01,1.344203174603174489e+02
2.237242630385487629e+01,1.344319274376417184e+02
2.238403628117913868e+01,1.344435374149659879e+02
2.239564625850340107e+01,1.344551473922902574e+02
2.240725623582766346e+01,1.344667573696145269e+02
